3	9	8	40	14
3	8	6	32	36
17	9	18	46	19
2	4	6	10	7
15	10	16	53	43
13	3	8	31	12
21	5	6	35	24
21	12	12	55	16
2	10	7	52	57
24	11	14	17	54
8	10	6	33	52
19	8	10	45	12
30	12	16	54	4
14	10	8	20	36
9	11	8	12	1
10	9	8	34	57
26	6	18	29	5
12	11	9	31	54
8	7	8	51	46
22	9	18	35	13
10	4	21	16	30
7	4	19	45	5
1	7	7	12	49
31	8	15	17	34
6	10	18	33	44
22	9	20	25	32
25	9	18	26	32
22	9	17	54	56
8	7	13	19	37
24	8	11	7	49
23	12	7	44	32
1	9	6	40	23
29	5	7	57	57
26	3	21	7	26
17	12	16	7	48
5	3	21	58	57
25	5	18	37	52
2	10	17	45	56
11	5	20	21	44
9	11	9	15	7
24	4	21	50	21
22	5	13	42	26
31	7	19	45	47
22	4	21	34	36
6	3	19	12	36
29	4	7	56	43
27	3	12	20	3
14	10	12	55	16
20	3	16	19	25
10	9	17	41	11
11	11	22	15	7
15	7	9	21	19
7	7	9	42	54
21	9	14	43	20
28	4	12	20	53
4	9	7	21	8
25	8	20	55	40
28	9	17	35	51
25	11	9	42	40
24	6	22	18	9
21	10	10	7	24
25	3	12	55	43
20	8	6	33	44
27	5	20	11	32
23	6	12	19	36
5	8	19	36	32
7	5	9	31	44
2	9	13	43	29
30	12	7	5	16
26	5	16	53	28
17	12	9	56	17
7	7	8	27	32
19	11	7	45	21
18	3	16	18	0
22	9	17	7	25
4	6	18	39	2
3	3	6	39	55
25	11	12	43	7
10	6	12	19	47
16	7	15	19	22
19	3	16	19	16
9	11	12	55	14
5	3	12	6	53
30	11	7	28	47
26	10	18	59	22
3	11	8	20	33
2	4	21	50	56
7	12	12	30	20
12	6	19	17	55
22	10	14	8	26
23	9	15	18	28
3	7	18	45	27
10	3	22	42	24
29	10	18	4	7
28	5	10	20	24
11	6	14	42	38
17	3	19	12	8
6	11	7	28	17
9	11	20	51	21
16	7	19	57	0
3	9	6	56	30
11	3	11	19	55
20	5	11	42	48
19	5	9	31	3
16	12	16	42	3
12	3	15	43	36
13	3	21	59	59
2	9	13	31	27
4	11	6	11	32
1	6	14	31	33
14	8	13	5	41
15	10	11	18	51
10	9	6	39	42
28	4	12	42	43
20	7	6	58	47
1	6	21	7	36
10	6	9	43	48
29	12	19	41	15
16	9	8	31	5
3	7	21	3	27
17	6	18	17	34
30	10	8	42	1
16	3	20	21	33
5	11	19	4	45
16	7	8	31	25
6	11	22	45	50
12	6	9	55	40
13	4	6	46	28
3	12	6	56	50
22	5	7	21	27
3	9	15	57	49
9	6	8	7	10
20	4	20	29	59
2	12	14	30	55
1	10	18	58	29
25	6	21	15	27
22	5	19	18	21
14	12	15	8	11
4	11	11	55	19
21	7	21	50	42
21	12	9	1	37
13	8	9	2	17
28	12	8	40	19
18	6	10	7	27
18	6	17	17	1
26	10	17	43	20
7	5	22	27	31
5	11	14	6	40
17	12	9	31	44
17	3	15	8	44
4	8	19	54	37
11	3	10	43	44
6	4	21	42	51
8	12	9	31	11
29	4	14	55	30
13	5	20	19	54
28	9	13	43	35
17	11	21	12	47
28	10	14	19	10
27	10	18	58	45
27	5	20	28	16
12	3	19	11	32
28	4	10	43	21
17	12	17	20	10
22	5	16	7	10
16	3	18	31	7
11	5	15	32	28
28	10	16	7	40
16	6	20	20	42
9	3	10	55	41
1	12	6	9	2
26	11	9	2	29
9	10	10	19	59
19	8	12	54	37
9	9	19	24	14
3	6	10	18	3
11	12	7	5	11
3	11	13	43	1
4	9	22	14	11
30	3	15	18	34
30	10	15	20	42
1	4	19	53	53
4	11	18	33	53
15	5	12	19	18
8	6	22	53	19
23	11	14	43	2
26	10	20	39	28
16	12	15	31	25
21	12	11	42	46
20	10	18	13	17
6	11	19	15	22
19	8	15	55	11
13	8	19	27	57
16	9	16	10	2
3	3	22	1	3
30	6	13	43	18
24	3	13	30	33
20	3	14	30	57
11	8	12	31	51
4	12	19	3	49
24	11	11	30	51
25	6	9	19	18
2	9	13	8	13
13	11	21	15	1
6	7	9	1	53
11	8	18	25	37
18	6	21	15	34
19	6	15	54	43
6	10	18	24	22
29	4	15	8	48
15	7	8	2	57
24	8	16	31	45
28	4	11	30	54
4	12	6	9	38
30	6	20	13	38
3	6	12	19	39
20	11	15	31	0
17	4	7	13	49
26	8	11	42	57
22	4	19	44	59
20	7	10	43	56
2	7	20	51	8
28	12	18	34	40
14	4	14	55	29
10	8	13	44	1
29	12	10	42	37
8	4	19	18	48
24	11	7	20	57
11	8	15	43	13
7	4	5	59	19
2	10	19	17	36
20	4	15	54	48
6	8	10	20	37
24	9	19	17	16
21	12	6	10	10
30	11	20	11	19
27	7	12	31	5
22	4	7	21	10
9	7	10	45	20
12	6	6	0	42
18	12	13	53	17
